created_at;entry_id;field1;field2
2024-11-15 15:06:44 UTC;17915992;11.000000;22.000000
2024-11-15 15:06:59 UTC;17915993;21.000000;23.000000
2024-11-15 15:07:15 UTC;17915994;16.000000;21.000000
2024-11-15 15:07:31 UTC;17915995;9.000000;19.000000
2024-11-15 15:07:46 UTC;17915996;10.000000;15.000000
2024-11-15 15:08:02 UTC;17915997;8.000000;15.000000
2024-11-15 15:08:17 UTC;17915998;11.000000;29.000000
2024-11-15 15:08:32 UTC;17915999;10.000000;21.000000
2024-11-15 15:08:48 UTC;17916000;9.000000;24.000000
2024-11-15 15:09:03 UTC;17916001;11.000000;24.000000
2024-11-15 15:09:18 UTC;17916002;9.000000;27.000000
2024-11-15 15:09:34 UTC;17916003;16.000000;16.000000
2024-11-15 15:09:50 UTC;17916004;14.000000;22.000000
2024-11-15 15:10:05 UTC;17916005;10.000000;19.000000
2024-11-15 15:10:20 UTC;17916006;7.000000;21.000000
2024-11-15 15:10:36 UTC;17916007;11.000000;19.000000
2024-11-15 15:10:52 UTC;17916008;6.000000;18.000000
2024-11-15 15:11:07 UTC;17916009;10.000000;17.000000
2024-11-15 15:11:23 UTC;17916010;11.000000;12.000000
2024-11-15 15:11:39 UTC;17916011;11.000000;13.000000
2024-11-15 15:11:55 UTC;17916012;11.000000;19.000000
2024-11-15 15:12:10 UTC;17916013;12.000000;24.000000
2024-11-15 15:12:25 UTC;17916014;18.000000;19.000000
2024-11-15 15:12:41 UTC;17916015;9.000000;17.000000
2024-11-15 15:12:56 UTC;17916016;4.000000;26.000000
2024-11-15 15:13:12 UTC;17916017;7.000000;25.000000
2024-11-15 15:13:27 UTC;17916018;12.000000;28.000000
2024-11-15 15:13:43 UTC;17916019;16.000000;19.000000
2024-11-15 15:13:58 UTC;17916020;6.000000;13.000000
2024-11-15 15:14:13 UTC;17916021;9.000000;13.000000
2024-11-15 15:14:29 UTC;17916022;12.000000;21.000000
2024-11-15 15:14:45 UTC;17916023;7.000000;19.000000
